States,Regions,latitude,longitude,Dates,Usage
West Bengal,ER,22.58039044,88.32994665,"02 January, 2019",108.2
West Bengal,ER,22.58039044,88.32994665,"03 January, 2019",110.2
West Bengal,ER,22.58039044,88.32994665,"04 January, 2019",106.8
West Bengal,ER,22.58039044,88.32994665,"05 January, 2019",107
West Bengal,ER,22.58039044,88.32994665,"06 January, 2019",106.4
West Bengal,ER,22.58039044,88.32994665,"07 January, 2019",109.3
West Bengal,ER,22.58039044,88.32994665,"08 January, 2019",102.9
West Bengal,ER,22.58039044,88.32994665,"09 January, 2019",131.7
West Bengal,ER,22.58039044,88.32994665,"10 January, 2019",140.1
West Bengal,ER,22.58039044,88.32994665,"11 January, 2019",149.8
West Bengal,ER,22.58039044,88.32994665,"12 January, 2019",154.7
West Bengal,ER,22.58039044,88.32994665,"13 January, 2019",155.3
West Bengal,ER,22.58039044,88.32994665,"14 January, 2019",143.9
West Bengal,ER,22.58039044,88.32994665,"15 January, 2019",143.4
West Bengal,ER,22.58039044,88.32994665,"16 January, 2019",152.9
West Bengal,ER,22.58039044,88.32994665,"17 January, 2019",167.7
West Bengal,ER,22.58039044,88.32994665,"18 January, 2019",175.9
West Bengal,ER,22.58039044,88.32994665,"19 January, 2019",180.6
West Bengal,ER,22.58039044,88.32994665,"20 January, 2019",178.9
West Bengal,ER,22.58039044,88.32994665,"21 January, 2019",178.9
West Bengal,ER,22.58039044,88.32994665,"22 January, 2019",173
West Bengal,ER,22.58039044,88.32994665,"23 January, 2019",183.4
West Bengal,ER,22.58039044,88.32994665,"24 January, 2019",175.5
West Bengal,ER,22.58039044,88.32994665,"25 January, 2019",161.2
West Bengal,ER,22.58039044,88.32994665,"26 January, 2019",169.5
West Bengal,ER,22.58039044,88.32994665,"27 January, 2019",135.6
West Bengal,ER,22.58039044,88.32994665,"28 January, 2019",103.6
West Bengal,ER,22.58039044,88.32994665,"29 January, 2019",131.5
West Bengal,ER,22.58039044,88.32994665,"30 January, 2019",125.7
West Bengal,ER,22.58039044,88.32994665,"31 January, 2019",126.1
West Bengal,ER,22.58039044,88.32994665,"02 February, 2019",128
West Bengal,ER,22.58039044,88.32994665,"03 February, 2019",127.6
West Bengal,ER,22.58039044,88.32994665,"04 February, 2019",131.6
West Bengal,ER,22.58039044,88.32994665,"05 February, 2019",136.8
West Bengal,ER,22.58039044,88.32994665,"06 February, 2019",138.9
West Bengal,ER,22.58039044,88.32994665,"07 February, 2019",115.4
West Bengal,ER,22.58039044,88.32994665,"08 February, 2019",115.1
West Bengal,ER,22.58039044,88.32994665,"09 February, 2019",117.4
West Bengal,ER,22.58039044,88.32994665,"10 February, 2019",123.7
West Bengal,ER,22.58039044,88.32994665,"11 February, 2019",124.9
West Bengal,ER,22.58039044,88.32994665,"12 February, 2019",123.3
West Bengal,ER,22.58039044,88.32994665,"13 February, 2019",116.8
West Bengal,ER,22.58039044,88.32994665,"14 February, 2019",124.4
West Bengal,ER,22.58039044,88.32994665,"15 February, 2019",125.4
West Bengal,ER,22.58039044,88.32994665,"16 February, 2019",126.8
West Bengal,ER,22.58039044,88.32994665,"17 February, 2019",128.6
West Bengal,ER,22.58039044,88.32994665,"18 February, 2019",132.4
West Bengal,ER,22.58039044,88.32994665,"19 February, 2019",127.1
West Bengal,ER,22.58039044,88.32994665,"20 February, 2019",119.8
West Bengal,ER,22.58039044,88.32994665,"21 February, 2019",185.5
West Bengal,ER,22.58039044,88.32994665,"22 February, 2019",186.1
West Bengal,ER,22.58039044,88.32994665,"23 February, 2019",198.1
West Bengal,ER,22.58039044,88.32994665,"24 February, 2019",189
West Bengal,ER,22.58039044,88.32994665,"25 February, 2019",175.9
West Bengal,ER,22.58039044,88.32994665,"26 February, 2019",176
West Bengal,ER,22.58039044,88.32994665,"27 February, 2019",153.4
West Bengal,ER,22.58039044,88.32994665,"28 February, 2019",113.9
West Bengal,ER,22.58039044,88.32994665,"02 March, 2019",119.5
West Bengal,ER,22.58039044,88.32994665,"03 March, 2019",114.1
West Bengal,ER,22.58039044,88.32994665,"04 March, 2019",120.5
West Bengal,ER,22.58039044,88.32994665,"05 March, 2019",118.9
West Bengal,ER,22.58039044,88.32994665,"06 March, 2019",119.8
West Bengal,ER,22.58039044,88.32994665,"07 March, 2019",111.4
West Bengal,ER,22.58039044,88.32994665,"08 March, 2019",163.7
West Bengal,ER,22.58039044,88.32994665,"09 March, 2019",167.1
West Bengal,ER,22.58039044,88.32994665,"10 March, 2019",170.3
West Bengal,ER,22.58039044,88.32994665,"11 March, 2019",173.5
West Bengal,ER,22.58039044,88.32994665,"12 March, 2019",178.5
West Bengal,ER,22.58039044,88.32994665,"13 March, 2019",177.2
West Bengal,ER,22.58039044,88.32994665,"14 March, 2019",165.2
West Bengal,ER,22.58039044,88.32994665,"15 March, 2019",98.4
West Bengal,ER,22.58039044,88.32994665,"16 March, 2019",97.7
West Bengal,ER,22.58039044,88.32994665,"17 March, 2019",91.6
West Bengal,ER,22.58039044,88.32994665,"18 March, 2019",97.1
West Bengal,ER,22.58039044,88.32994665,"19 March, 2019",106.8
West Bengal,ER,22.58039044,88.32994665,"20 March, 2019",101.9
West Bengal,ER,22.58039044,88.32994665,"21 March, 2019",95.6
West Bengal,ER,22.58039044,88.32994665,"22 March, 2019",107.5
West Bengal,ER,22.58039044,88.32994665,"23 March, 2019",110.8
West Bengal,ER,22.58039044,88.32994665,"24 March, 2019",113.4
West Bengal,ER,22.58039044,88.32994665,"25 March, 2019",113
West Bengal,ER,22.58039044,88.32994665,"26 March, 2019",114.1
West Bengal,ER,22.58039044,88.32994665,"27 March, 2019",115.6
West Bengal,ER,22.58039044,88.32994665,"28 March, 2019",102.1
West Bengal,ER,22.58039044,88.32994665,"29 March, 2019",152.1
West Bengal,ER,22.58039044,88.32994665,"30 March, 2019",145.2
West Bengal,ER,22.58039044,88.32994665,"31 March, 2019",145.8
